Year,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,GeoCode,Value
2018,,Y15T49,,,,,,7.7
2023,,Y15T49,,,,,,6.2
2018,,Y15T49,U,,,,,7.9
2023,,Y15T49,U,,,,,7.4
2018,,Y15T49,R,,,,,7.6
2023,,Y15T49,R,,,,,5.6
2018,KG05,Y15T49,,,,,KG05,0.4
2023,KG05,Y15T49,,,,,KG05,4.3
2018,KG03,Y15T49,,,,,KG03,7.3
2023,KG03,Y15T49,,,,,KG03,7.1
2018,KG02,Y15T49,,,,,KG02,1.7
2023,KG02,Y15T49,,,,,KG02,2.5
2018,KG04,Y15T49,,,,,KG04,2.8
2023,KG04,Y15T49,,,,,KG04,2.9
2018,KG06,Y15T49,,,,,KG06,6.5
2023,KG06,Y15T49,,,,,KG06,3.4
2018,KG07,Y15T49,,,,,KG07,50.0
2023,KG07,Y15T49,,,,,KG07,19.0
2018,KG08,Y15T49,,,,,KG08,16.6
2023,KG08,Y15T49,,,,,KG08,9.3
2018,KG11,Y15T49,,,,,KG11,8.7
2023,KG11,Y15T49,,,,,KG11,7.1
2018,KG21,Y15T49,,,,,KG21,70.0
2023,KG21,Y15T49,,,,,KG21,149.0
2018,,Y15T19,,,,,,6.5
2023,,Y15T19,,,,,,5.3
2018,,Y15T17,,,,,,5.7
2023,,Y15T17,,,,,,3.5
2018,,Y18T19,,,,,,8.3
2023,,Y18T19,,,,,,10.0
2018,,Y20T24,,,,,,9.1
2023,,Y20T24,,,,,,5.3
2018,,Y25T29,,,,,,7.1
2023,,Y25T29,,,,,,5.5
2018,,Y30T34,,,,,,8.8
2023,,Y30T34,,,,,,7.7
2018,,Y35T39,,,,,,8.7
2023,,Y35T39,,,,,,6.8
2018,,Y40T44,,,,,,6.4
2023,,Y40T44,,,,,,5.8
2018,,Y45T49,,,,,,70.0
2023,,Y45T49,,,,,,70.0
2018,,Y15T49,,,ISCED11_1,,,140.0
2023,,Y15T49,,,ISCED11_1,,,75.0
2018,,Y15T49,,,ISCED11_2,,,59.0
2023,,Y15T49,,,ISCED11_2,,,61.0
2018,,Y15T49,,,ISCED11_3,,,69.0
2023,,Y15T49,,,ISCED11_3,,,49.0
2018,,Y15T49,,,ISCED11_4,,,82.0
2023,,Y15T49,,,ISCED11_4,,,64.0
2018,,Y18T49,,,,PD,,207.0
2023,,Y18T49,,,,PD,,323.0
2018,,Y18T49,,,,PWD,,76.0
2023,,Y18T49,,,,PWD,,61.0
2018,,Y15T49,,Q1,,,,60.0
2023,,Y15T49,,Q1,,,,67.0
2018,,Y15T49,,Q2,,,,67.0
2023,,Y15T49,,Q2,,,,57.0
2018,,Y15T49,,Q3,,,,97.0
2023,,Y15T49,,Q3,,,,50.0
2018,,Y15T49,,Q4,,,,71.0
2023,,Y15T49,,Q4,,,,64.0
2018,,Y15T49,,Q5,,,,88.0
2023,,Y15T49,,Q5,,,,71.0
